"В Японии часто проводят распродажи, на которых можно приобрести товары со скидками до 50%, что снижает цену до 3000¥.","В Японии часто проводят распродажи, на которых можно приобрести товары со скидками до 50%, что снижает цену до 3000 йен."
"Средняя стоимость одной чашки кофе в Токио составляет 400¥, что является обычной ценой в кафе.","Средняя стоимость одной чашки кофе в Токио составляет 400 йен, что является обычной ценой в кафе."
"Цены на японские игрушки могут начинаться от 100¥, что делает их доступными для детей и взрослых.","Цены на японские игрушки могут начинаться от 100 йен, что делает их доступными для детей и взрослых."
"В Японии, в зависимости от магазина, сумка может стоить от 2000¥ до 20,000¥, в зависимости от бренда и качества.","В Японии, в зависимости от магазина, сумка может стоить от 2000 до 20,000 йен, в зависимости от бренда и качества."
"Для того, чтобы покататься на японской горке, нужно заплатить 800¥ за билет, что вполне разумно для аттракциона.","Для того, чтобы покататься на японской горке, нужно заплатить 800 йен за билет, что вполне разумно для аттракциона."
"Пожилые люди в Японии часто получают скидки до 50% на транспорт, и поездка может стоить всего 200¥.","Пожилые люди в Японии часто получают скидки до 50% на транспорт, и поездка может стоить всего 200 йен."
"Стоимость тренировки в спортивном клубе в Токио может варьироваться от 1000¥ до 5000¥, в зависимости от типа занятий.","Стоимость тренировки в спортивном клубе в Токио может варьироваться от 1000 до 5000 йен, в зависимости от типа занятий."
"Скидки на одежду в Японии могут достигать 70%, что позволяет купить предметы за 1500¥.","Скидки на одежду в Японии могут достигать 70%, что позволяет купить предметы за 1500 йен."
"Стоимость такси в Токио составляет примерно 5000¥ за поездку в пределах города.","Стоимость такси в Токио составляет примерно 5000 йен за поездку в пределах города."
"Средняя стоимость билета в кинотеатры Японии составляет 1200¥ за сеанс, что делает его доступным для большинства жителей.","Средняя стоимость билета в кинотеатры Японии составляет 1200 йен за сеанс, что делает его доступным для большинства жителей."
"В Японии некоторые товары для дома, такие как столы и стулья, могут стоить около 5000¥.","В Японии некоторые товары для дома, такие как столы и стулья, могут стоить около 5000 йен."
"Бюджетный японский ресторан может обойтись в 2000¥ за ужин для одного человека.","Бюджетный японский ресторан может обойтись в 2000 йен за ужин для одного человека."
"Продукты питания в Японии могут стоить от 500¥ до 5000¥ в зависимости от типа и качества.","Продукты питания в Японии могут стоить от 500 до 5000 йен в зависимости от типа и качества."
"Билеты на выступления японских музыкальных групп могут стоить от 3000¥ до 10,000¥ в зависимости от популярности исполнителя.","Билеты на выступления японских музыкальных групп могут стоить от 3000 до 10,000 йен в зависимости от популярности исполнителя."
"В Японии, если вы хотите купить спортивную обувь, она будет стоить от 4000¥ до 15,000¥ в зависимости от бренда.","В Японии, если вы хотите купить спортивную обувь, она будет стоить от 4000 до 15,000 йен в зависимости от бренда."
"Поездка на синкансене между Токио и Осака может стоить около 13,000¥.","Поездка на синкансене между Токио и Осака может стоить около 13,000 йен."
"В Японии даже школьные учебники могут стоить от 2000¥ до 5000¥, в зависимости от года выпуска.","В Японии даже школьные учебники могут стоить от 2000 до 5000 йен, в зависимости от года выпуска."
"Проживание в бизнес-отеле в Японии на одну ночь может обойтись от 7000¥ до 15,000¥.","Проживание в бизнес-отеле в Японии на одну ночь может обойтись от 7000 до 15,000 йен."
"При посещении японских горячих источников стоимость входа может варьироваться от 1000¥ до 3000¥.","При посещении японских горячих источников стоимость входа может варьироваться от 1000 до 3000 йен."
"В Японии обычный ужин в ресторане японской кухни может стоить 5000¥.","В Японии обычный ужин в ресторане японской кухни может стоить 5000 йен."
"Туристы, желающие посетить японские замки, часто платят 800¥ за входной билет.","Туристы, желающие посетить японские замки, часто платят 800 йен за входной билет."
"В Японии можно найти различные парфюмерные товары стоимостью от 2000¥ до 10,000¥.","В Японии можно найти различные парфюмерные товары стоимостью от 2000 до 10,000 йен."
"Совсем недавно я купил великолепный японский нож за 15,000¥, который оказался очень качественным.","Совсем недавно я купил великолепный японский нож за 15,000 йен, который оказался очень качественным."
"Для покупки традиционных японских тканей потребуется сумма около 2000¥, что делает их доступными для многих туристов.","Для покупки традиционных японских тканей потребуется сумма около 2000 йен, что делает их доступными для многих туристов."
"Мой друг купил коллекционный японский фонарик за 5000¥, который стал отличным украшением для дома.","Мой друг купил коллекционный японский фонарик за 5000 йен, который стал отличным украшением для дома."
"Японский чайный набор можно приобрести за 3000¥, что вполне подходит для тех, кто ценит японскую культуру.","Японский чайный набор можно приобрести за 3000 йен, что вполне подходит для тех, кто ценит японскую культуру."
"Мои дети любят японские конструкторы, которые стоят от 1000¥ до 5000¥ в зависимости от сложности.","Мои дети любят японские конструкторы, которые стоят от 1000 до 5000 йен в зависимости от сложности."
"Сумка в японском магазине может стоить от 2000¥ до 15,000¥, в зависимости от бренда.","Сумка в японском магазине может стоить от 2000 до 15,000 йен, в зависимости от бренда."
"Когда мы поехали в Японию, то купили множество сувениров, потратив около 20,000¥.","Когда мы поехали в Японию, то купили множество сувениров, потратив около 20,000 йен."
"Для посещения некоторых японских парков аттракционов вам придется заплатить около 3000¥.","Для посещения некоторых японских парков аттракционов вам придется заплатить около 3000 йен."
"Япония известна своей кухней, и стоимость ужина в традиционном ресторане может составить 3000¥.","Япония известна своей кухней, и стоимость ужина в традиционном ресторане может составить 3000 йен."
"Если вы хотите купить сувениры в Токио, то стоимость многих из них составляет от 500¥ до 5000¥.","Если вы хотите купить сувениры в Токио, то стоимость многих из них составляет от 500 до 5000 йен."
"Простое посещение японского музея может стоить 1000¥, но экскурсии обычно дороже.","Простое посещение японского музея может стоить 1000 йен, но экскурсии обычно дороже."
"Японский стиль одежды, особенно для женщин, может стоить от 3000¥ до 10,000¥.","Японский стиль одежды, особенно для женщин, может стоить от 3000 до 10,000 йен."
"Туризм в Японии достаточно разв развит, и стоимость однодневных туров может составлять 5000¥.","Туризм в Японии достаточно разв развит, и стоимость однодневных туров может составлять 5000 йен."
"Я заплатил 4,000¥ за аренду спортивного инвентаря в Японии.","Я заплатил 4 000 йен за аренду спортивного инвентаря в Японии."
"Стоимость обеда в японском ресторане составила 2,500¥.","Стоимость обеда в японском ресторане составила 2 500 йен."
"Я потратил 6,800¥ на приобретение японских сувениров.","Я потратил 6 800 йен на приобретение японских сувениров."
"Цены на одежду в японских магазинах могут колебаться от 3,000¥ до 15,000¥.","Цены на одежду в японских магазинах могут колебаться от 3 000 йен до 15 000 йен."
"Моя аренда квартиры в Токио составила 40,000¥ за месяц.","Моя аренда квартиры в Токио составила 40 000 йен за месяц."
"Стоимость билета на японский фестиваль составила 2,200¥.","Стоимость билета на японский фестиваль составила 2 200 йен."
"Я заплатил 7,000¥ за аренду скутера в Токио.","Я заплатил 7 000 йен за аренду скутера в Токио."
"Цена за один билет в японский музей составила 1,500¥.","Цена за один билет в японский музей составила 1 500 йен."
"Цены на японские природные туры начинаются от 4,000¥.","Цены на японские природные туры начинаются от 4 000 йен."
"Я потратил 12,000¥ на новые технологичные гаджеты.","Я потратил 12 000 йен на новые технологичные гаджеты."
"Стоимость подписки на японскую газету составила 1,200¥ в месяц.","Стоимость подписки на японскую газету составила 1 200 йен в месяц."
"Я заплатил 9,000¥ за экскурсию по японскому храму в Киото.","Я заплатил 9 000 йен за экскурсию по японскому храму в Киото."
"Цены на японские традиционные блюда могут колебаться от 800¥ до 4,000¥.","Цены на японские традиционные блюда могут колебаться от 800 йен до 4 000 йен."
"Я потратил 5,200¥ на покупку японских фильмов.","Я потратил 5 200 йен на покупку японских фильмов."
"Стоимость мастер-класса по японской керамике составила 6,500¥.","Стоимость мастер-класса по японской керамике составила 6 500 йен."
"Я заплатил 10,000¥ за участие в японской чайной церемонии.","Я заплатил 10 000 йен за участие в японской чайной церемонии."
"Цены на билеты в японский театр начинаются от 1,500¥.","Цены на билеты в японский театр начинаются от 1 500 йен."
"Я потратил 15,000¥ на новые японские украшения.","Я потратил 15 000 йен на новые японские украшения."
"Стоимость проезда в японском метро составила 600¥.","Стоимость проезда в японском метро составила 600 йен."
"Я заплатил 8,500¥ за билет на японский джазовый концерт.","Я заплатил 8 500 йен за билет на японский джазовый концерт."
"Цены на аренду автомобилей в Японии могут варьироваться от 7,000¥ до 20,000¥ в сутки.","Цены на аренду автомобилей в Японии могут варьироваться от 7 000 йен до 20 000 йен в сутки."
"Я потратил 3,800¥ на изучение японского языка.","Я потратил 3 800 йен на изучение японского языка."
"Я заплатил 4,600¥ за обед в ресторане японской кухни.","Я заплатил 4 600 йен за обед в ресторане японской кухни."
"Цены на японские игрушки варьируются от 300¥ до 2,000¥.","Цены на японские игрушки варьируются от 300 йен до 2 000 йен."
"Я заплатил 5,000¥ за ночь в японском традиционном гостиничном комплексе.","Я заплатил 5 000 йен за ночь в японском традиционном гостиничном комплексе."
"Цены на аренду велосипедов в Токио могут колебаться от 800¥ до 2,000¥ в день.","Цены на аренду велосипедов в Токио могут колебаться от 800 йен до 2 000 йен в день."
"Я потратил 2,000¥ на новый японский аксессуар.","Я потратил 2 000 йен на новый японский аксессуар."
"Цены на японские косметические средства начинаются от 1,500¥.","Цены на японские косметические средства начинаются от 1 500 йен."
"Я заплатил 3,000¥ за участие в мастер-классе по японскому искусству.","Я заплатил 3 000 йен за участие в мастер-классе по японскому искусству."
"Стоимость ночного такси по Токио составила 5,800¥.","Стоимость ночного такси по Токио составила 5 800 йен."
"Я заплатил 4,500¥ за экскурсию по японским музеям.","Я заплатил 4 500 йен за экскурсию по японским музеям."
"Цены на японские билеты в парк аттракционов могут варьироваться от 4,000¥ до 8,000¥.","Цены на японские билеты в парк аттракционов могут варьироваться от 4 000 йен до 8 000 йен."
"Я потратил 3,600¥ на поход в японский спа-салон.","Я потратил 3 600 йен на поход в японский спа-салон."
"Стоимость проживания в японском отеле составила 12,000¥ за ночь.","Стоимость проживания в японском отеле составила 12 000 йен за ночь."
"Я заплатил 6,000¥ за билет на японский культурный фестиваль.","Я заплатил 6 000 йен за билет на японский культурный фестиваль."
"Цены на японские мобильные телефоны могут варьироваться от 10,000¥ до 50,000¥.","Цены на японские мобильные телефоны могут варьироваться от 10 000 йен до 50 000 йен."
"Я потратил 4,200¥ на экскурсий по японским островам.","Я потратил 4 200 йен на экскурсии по японским островам."
"Стоимость посещения японского зоопарка составила 3,000¥.","Стоимость посещения японского зоопарка составила 3 000 йен."
"Цены на японскую одежду варьируются от 2,500¥ до 8,000¥.","Цены на японскую одежду варьируются от 2 500 йен до 8 000 йен."
"Я заплатил 7,500¥ за участие в японской экскурсии по храмам.","Я заплатил 7 500 йен за участие в японской экскурсии по храмам."
"Стоимость поездки на японском поезде в другой город составила 8,000¥.","Стоимость поездки на японском поезде в другой город составила 8 000 йен."
"Я потратил 5,000¥ на японские аксессуары для дома.","Я потратил 5 000 йен на японские аксессуары для дома."
"Цены на аренду жилья в Токио могут варьироваться от 50,000¥ до 150,000¥ в месяц.","Цены на аренду жилья в Токио могут варьироваться от 50 000 йен до 150 000 йен в месяц."
"Я заплатил 9,800¥ за японскую антикварную посуду.","Я заплатил 9 800 йен за японскую антикварную посуду."
"Я потратил 10,000¥ на участие в японском мастер-классе по икебане.","Я потратил 10 000 йен на участие в японском мастер-классе по икебане."
"Стоимость прогулки по японским рекам на лодке составила 6,000¥.","Стоимость прогулки по японским рекам на лодке составила 6 000 йен."
"Цены на японские смартфоны варьируются от 20,000¥ до 80,000¥.","Цены на японские смартфоны варьируются от 20 000 йен до 80 000 йен."
"Я заплатил 2,000¥ за билет на японский фольклорный концерт.","Я заплатил 2 000 йен за билет на японский фольклорный концерт."
"Я потратил 6,500¥ на покупку нового смартфона в Японии.","Я потратил 6 500 йен на покупку нового смартфона в Японии."
"Стоимость одного билета на автобус по Токио составляет 1,200¥.","Стоимость одного билета на автобус по Токио составляет 1 200 йен."
"Цены на сувениры в японских магазинах начинаются от 500¥.","Цены на сувениры в японских магазинах начинаются от 500 йен."
"Я заплатил 4,700¥ за участие в мастер-классе по японской кухне.","Я заплатил 4 700 йен за участие в мастер-классе по японской кухне."
"Стоимость ночного такси по Токио составила 3,200¥.","Стоимость ночного такси по Токио составила 3 200 йен."
"Я заплатил 5,000¥ за экскурсию по японским храмам.","Я заплатил 5 000 йен за экскурсию по японским храмам."
"Мой счет в японском ресторане составил 2,800¥.","Мой счет в японском ресторане составил 2 800 йен."
"Цены на аренду комнат в Токио начинаются от 8,000¥ за ночь.","Цены на аренду комнат в Токио начинаются от 8 000 йен за ночь."
"Я заплатил 9,200¥ за билеты на японский театральный спектакль.","Я заплатил 9 200 йен за билеты на японский театральный спектакль."
"Стоимость покупки нового компьютера составила 45,000¥.","Стоимость покупки нового компьютера составила 45 000 йен."
"Цены на аренду велосипедов в японских городах варьируются от 1,000¥ до 2,000¥ в день.","Цены на аренду велосипедов в японских городах варьируются от 1 000 йен до 2 000 йен в день."
"Я потратил 3,800¥ на участие в японском культурном фестивале.","Я потратил 3 800 йен на участие в японском культурном фестивале."
"Билеты на японский культурный вечер стоили 6,000¥.","Билеты на японский культурный вечер стоили 6 000 йен."
"Стоимость ночных прогулок по Токио на автобусе составила 2,000¥.","Стоимость ночных прогулок по Токио на автобусе составила 2 000 йен."
"Цены на экскурсии по Токио начинаются от 5,500¥.","Цены на экскурсии по Токио начинаются от 5 500 йен."
"Я потратил 10,000¥ на покупку одежды в японском торговом центре.","Я потратил 10 000 йен на покупку одежды в японском торговом центре."
"Цены на традиционные японские кимоно могут достигать 20,000¥.","Цены на традиционные японские кимоно могут достигать 20 000 йен."
"Я заплатил 7,000¥ за участие в японском мастер-классе по каллиграфии.","Я заплатил 7 000 йен за участие в японском мастер-классе по каллиграфии."
"Мои расходы на покупку японских игрушек составили 4,500¥.","Мои расходы на покупку японских игрушек составили 4 500 йен."
"Я заплатил 8,000¥ за билет на японскую оперу.","Я заплатил 8 000 йен за билет на японскую оперу."
"Цены на японские сладости варьируются от 1,000¥ до 3,000¥.","Цены на японские сладости варьируются от 1 000 йен до 3 000 йен."
"Я потратил 2,400¥ на билет в японский зоопарк.","Я потратил 2 400 йен на билет в японский зоопарк."
"Стоимость аренды мотобайка в Японии составила 3,500¥ за сутки.","Стоимость аренды мотобайка в Японии составила 3 500 йен за сутки."
"Я заплатил 4,800¥ за билет на японский джазовый концерт.","Я заплатил 4 800 йен за билет на японский джазовый концерт."
"Цены на морепродукты в японских ресторанах могут колебаться от 1,500¥ до 6,000¥.","Цены на морепродукты в японских ресторанах могут колебаться от 1 500 йен до 6 000 йен."
"Я заплатил 7,300¥ за экскурсию по японским замкам.","Я заплатил 7 300 йен за экскурсию по японским замкам."
"Цены на аренду дома в Японии могут достигать 100,000¥ за месяц.","Цены на аренду дома в Японии могут достигать 100 000 йен за месяц."
"Я потратил 6,200¥ на поездку в японский парк развлечений.","Я потратил 6 200 йен на поездку в японский парк развлечений."
"Цены на традиционные японские чайные церемонии варьируются от 2,000¥ до 5,000¥.","Цены на традиционные японские чайные церемонии варьируются от 2 000 йен до 5 000 йен."
"Я заплатил 9,500¥ за аренду традиционного японского дома на ночь.","Я заплатил 9 500 йен за аренду традиционного японского дома на ночь."
"Я потратил 7,800¥ на аренду комнаты в японском отеле.","Я потратил 7 800 йен на аренду комнаты в японском отеле."
"Цены на билеты в японские музеи варьируются от 1,000¥ до 4,000¥.","Цены на билеты в японские музеи варьируются от 1 000 йен до 4 000 йен."
"Я заплатил 5,200¥ за участие в японской фотосессии.","Я заплатил 5 200 йен за участие в японской фотосессии."
"Цены на японские напитки варьируются от 500¥ до 1,500¥.","Цены на японские напитки варьируются от 500 йен до 1 500 йен."
"Я потратил 4,000¥ на покупку японских косметических средств.","Я потратил 4 000 йен на покупку японских косметических средств."
"Моя поездка по японским островам стоила мне 10,000¥.","Моя поездка по японским островам стоила мне 10 000 йен."
"Я заплатил 8,500¥ за экскурсию по японским горячим источникам.","Я заплатил 8 500 йен за экскурсию по японским горячим источникам."
"Цены на экскурсии по японским храмам начинаются от 3,000¥.","Цены на экскурсии по японским храмам начинаются от 3 000 йен."
"Я заплатил 5,700¥ за аренду лодки на японском озере.","Я заплатил 5 700 йен за аренду лодки на японском озере."
"Стоимость поездки на японском поезде шикисен составила 15,000¥.","Стоимость поездки на японском поезде шикисен составила 15 000 йен."
"Я заплатил 2,800¥ за билеты на японский кинофестиваль.","Я заплатил 2 800 йен за билеты на японский кинофестиваль."
"Цены на аренду жилья в Токио могут колебаться от 50,000¥ до 100,000¥ в месяц.","Цены на аренду жилья в Токио могут колебаться от 50 000 йен до 100 000 йен в месяц."
"Я потратил 9,000¥ на участие в японской чайной церемонии.","Я потратил 9 000 йен на участие в японской чайной церемонии."
"Цены на японские традиционные костюмы начинаются от 5,000¥.","Цены на японские традиционные костюмы начинаются от 5 000 йен."
"Я заплатил 3,200¥ за билет в японский парк аттракционов.","Я заплатил 3 200 йен за билет в японский парк аттракционов."
"Я заплатил 7,500¥ за экскурсию по японским храмам в Киото.","Я заплатил 7 500 йен за экскурсию по японским храмам в Киото."
"Стоимость туров по японским природным памятникам составляет 4,000¥.","Стоимость туров по японским природным памятникам составляет 4 000 йен."
"Я потратил 10,500¥ на экскурсию по Токийской башне.","Я потратил 10 500 йен на экскурсию по Токийской башне."
"Цены на японские косметические процедуры варьируются от 2,500¥ до 7,000¥.","Цены на японские косметические процедуры варьируются от 2 500 йен до 7 000 йен."
"Я заплатил 6,500¥ за аренду каяка на японском озере.","Я заплатил 6 500 йен за аренду каяка на японском озере."
"Цены на японскую кухню в ресторанах могут колебаться от 800¥ до 2,500¥.","Цены на японскую кухню в ресторанах могут колебаться от 800 йен до 2 500 йен."
"Я заплатил 5,300¥ за участие в японском мастер-классе по искусству.","Я заплатил 5 300 йен за участие в японском мастер-классе по искусству."
"Стоимость поездки в Токио на автобусе составила 3,000¥.","Стоимость поездки в Токио на автобусе составила 3 000 йен."
"Я заплатил 7,500¥ за участие в японском мастер-классе по каллиграфии.","Я заплатил 7 500 йен за участие в японском мастер-классе по каллиграфии."
"Цена на билеты в Токийский музей искусств составила 2,000¥.","Цена на билеты в Токийский музей искусств составила 2 000 йен."
"Мой заказ в японском ресторане обошелся мне в 4,300¥.","Мой заказ в японском ресторане обошелся мне в 4 300 йен."
"Я заплатил 8,200¥ за аренду авто на неделю в Японии.","Я заплатил 8 200 йен за аренду авто на неделю в Японии."
"Цены на аренду велосипеда в Токио начинаются от 1,500¥.","Цены на аренду велосипеда в Токио начинаются от 1 500 йен."
"Я заплатил 6,500¥ за экскурсию по японским храмам.","Я заплатил 6 500 йен за экскурсию по японским храмам."
"Плата за посещение японского аквариума составила 3,800¥.","Плата за посещение японского аквариума составила 3 800 йен."
"Я потратил 2,700¥ на сувениры в японском магазине.","Я потратил 2 700 йен на сувениры в японском магазине."
"Стоимость билета в японский театр составила 5,000¥.","Стоимость билета в японский театр составила 5 000 йен."
"Я заплатил 12,000¥ за билет на концерт классической музыки в Токио.","Я заплатил 12 000 йен за билет на концерт классической музыки в Токио."
"Цены на ночные автобусные туры по Токио начинаются от 4,500¥.","Цены на ночные автобусные туры по Токио начинаются от 4 500 йен."
"Мой заказ на ужин в ресторане с традиционными японскими блюдами составил 5,200¥.","Мой заказ на ужин в ресторане с традиционными японскими блюдами составил 5 200 йен."
"Я заплатил 6,000¥ за участие в мастер-классе по японскому искусству.","Я заплатил 6 000 йен за участие в мастер-классе по японскому искусству."
"Цены на японскую рыбу в ресторане могут варьироваться от 1,000¥ до 5,000¥.","Цены на японскую рыбу в ресторане могут варьироваться от 1 000 йен до 5 000 йен."
"Я заплатил 7,300¥ за билет на скоростной поезд.","Я заплатил 7 300 йен за билет на скоростной поезд."
"Для участия в фестивале в японском городе мне пришлось заплатить 8,000¥.","Для участия в фестивале в японском городе мне пришлось заплатить 8 000 йен."
"Я потратил 3,500¥ на экскурсию по историческим достопримечательностям Токио.","Я потратил 3 500 йен на экскурсию по историческим достопримечательностям Токио."
"Я заплатил 4,400¥ за посещение японского ботанического сада.","Я заплатил 4 400 йен за посещение японского ботанического сада."
"Стоимость ночного такси по Токио составила 6,000¥.","Стоимость ночного такси по Токио составила 6 000 йен."
"Я купил билет на японскую железную дорогу за 5,000¥.","Я купил билет на японскую железную дорогу за 5 000 йен."
"Мой обед в японском ресторане с морепродуктами обошелся в 9,000¥.","Мой обед в японском ресторане с морепродуктами обошелся в 9 000 йен."
"Цены на аренду машины в японских городах варьируются от 4,000¥ до 10,000¥ за день.","Цены на аренду машины в японских городах варьируются от 4 000 йен до 10 000 йен за день."
"Я заплатил 2,500¥ за ночной тур по Токио.","Я заплатил 2 500 йен за ночной тур по Токио."
"Стоимость посещения японского музея изобразительных искусств составила 1,800¥.","Стоимость посещения японского музея изобразительных искусств составила 1 800 йен."
"Я потратил 5,200¥ на покупку билетов на национальное шоу в Японии.","Я потратил 5 200 йен на покупку билетов на национальное шоу в Японии."
"Цены на вход в японский парк аттракционов начинаются от 7,500¥.","Цены на вход в японский парк аттракционов начинаются от 7 500 йен."
"Я заплатил 3,000¥ за участие в мастер-классе по японской кухне.","Я заплатил 3 000 йен за участие в мастер-классе по японской кухне."
"Стоимость моих покупок в японском торговом центре составила 4,800¥.","Стоимость моих покупок в японском торговом центре составила 4 800 йен."
"Я заплатил 2,200¥ за билеты на японскую оперу.","Я заплатил 2 200 йен за билеты на японскую оперу."
"Цены на комнату в японском отеле для двух человек начинаются от 10,000¥ за ночь.","Цены на комнату в японском отеле для двух человек начинаются от 10 000 йен за ночь."
"Я потратил 6,500¥ на экскурсию по японским замкам.","Я потратил 6 500 йен на экскурсию по японским замкам."
"Я заплатил 4,000¥ за участие в японском празднике ханами.","Я заплатил 4 000 йен за участие в японском празднике ханами."
"Стоимость бензина в Японии составляет 150¥ за литр.","Стоимость бензина в Японии составляет 150 йен за литр."
"Я потратил 2,000¥ на покупку японской косметики.","Я потратил 2 000 йен на покупку японской косметики."
"Цены на авиабилеты в Японию варьируются от 30,000¥ до 50,000¥.","Цены на авиабилеты в Японию варьируются от 30 000 йен до 50 000 йен."
"Я заплатил 7,800¥ за поездку в японский национальный парк.","Я заплатил 7 800 йен за поездку в японский национальный парк."
"Мои расходы на поездку в Японию составили 50,000¥.","Мои расходы на поездку в Японию составили 50 000 йен."
"Я заплатил 4,300¥ за участие в японской ночной экскурсии.","Я заплатил 4 300 йен за участие в японской ночной экскурсии."
"Стоимость ужина в ресторане с японской кухней составила 6,000¥.","Стоимость ужина в ресторане с японской кухней составила 6 000 йен."
"Я заплатил 9,500¥ за билеты на японский рок-концерт.","Я заплатил 9 500 йен за билеты на японский рок-концерт."
"Цены на билеты в японский аквапарк составляют 3,200¥.","Цены на билеты в японский аквапарк составляют 3 200 йен."
"Я потратил 5,800¥ на покупку японских традиционных украшений.","Я потратил 5 800 йен на покупку японских традиционных украшений."
"Я заплатил 7,000¥ за экскурсию по японским горным курортам.","Я заплатил 7 000 йен за экскурсию по японским горным курортам."
"Стоимость билетов на японские аниме-выставки варьируется от 2,000¥ до 8,000¥.","Стоимость билетов на японские аниме-выставки варьируется от 2 000 йен до 8 000 йен."
"Я потратил 4,500¥ на посещение японского аквариума.","Я потратил 4 500 йен на посещение японского аквариума."
"Цены на услуги японских гидов начинаются от 5,000¥ за день.","Цены на услуги японских гидов начинаются от 5 000 йен за день."
"Я заплатил 10,000¥ за участие в японском фестивале.","Я заплатил 10 000 йен за участие в японском фестивале."
"Моя поездка в японский парк аттракционов обошлась мне в 12,000¥.","Моя поездка в японский парк аттракционов обошлась мне в 12 000 йен."
"Цены на электрические велосипеды для аренды составляют 3,500¥ за сутки.","Цены на электрические велосипеды для аренды составляют 3 500 йен за сутки."
"Стоимость японского спецназа для туристов составила 8,000¥ за день.","Стоимость японского спецназа для туристов составила 8 000 йен за день."
