"question","answer","measure"
"Впервые заявил о себе на международном уровне в сезоне 2002 года, когда вошёл в составе багамской сборной выступил на домашних CARIFTA Games в Нассау и на юниорском первенстве Центральной Америки и Карибского бассейна в Бриджтауне, где в беге на 400 м стал пятым и шестым соответственно.","Впервые заявил о себе на международном уровне в сезоне 2002 года, когда вошёл в составе багамской сборной выступил на домашних CARIFTA Games в Нассау и на юниорском первенстве Центральной Америки и Карибского бассейна в Бриджтауне, где в беге на 400 метров стал пятым и шестым соответственно.","measure"
"Абсолютная выс. — 198 м над уровнем моря.","Абсолютная высота — 198 метров над уровнем моря.","measure"
"Кроме того, в этой классификации учитывались временные бонусы за финиш на первых трех местах на этапа: 10 с за первое место, 6 — за второе и 4 — за третье, а также на промежуточных финишах: 3 с за первое место, 2 — за второе и 1 — за третье.","Кроме того, в этой классификации учитывались временные бонусы за финиш на первых трех местах на этапа: 10 секунд за первое место, 6 — за второе и 4 — за третье, а также на промежуточных финишах: 3 секунды за первое место, 2 — за второе и 1 — за третье.","measure"
"Располагается на высоте 12,0 м над уровнем моря.","Располагается на высоте 12,0 метров над уровнем моря.","measure"
"Его пл. составила 600 м², выс. потолка, расписанного мифологическими сюжетами художником Джованни Батиста Скотти, — 14,5 м.","Его площадь составила 600 м², высота потолка, расписанного мифологическими сюжетами художником Джованни Батиста Скотти, — 14,5 метра.","measure"
"Во время реконструкции инженерных сооружений были заменены более ста км труб.","Во время реконструкции инженерных сооружений были заменены более ста километров труб.","measure"
"Расположены они на значительном расстоянии друг от друга — 100—245 км.","Расположены они на значительном расстоянии друг от друга — 100—245 километров.","measure"
"Она была построена на берегу таёжной речки Амня, в 20 км от её устья при впадении в реку Казым.","Она была построена на берегу таёжной речки Амня, в 20 километрах от её устья при впадении в реку Казым.","measure"
"Размер плодов при этом соответственно варьирует от 20—30 до 45 г.","Размер плодов при этом соответственно варьирует от 20—30 до 45 грамм.","measure"
"Утулик находится в Восточной Сибири, на юге Иркутской области, на южном берегу озера Байкал, в 141 км по трассе М-55 и в 154 км по Транссибирской магистрали от Иркутска.","Утулик находится в Восточной Сибири, на юге Иркутской области, на южном берегу озера Байкал, в 141 километре по трассе М-55 и в 154 километрах по Транссибирской магистрали от Иркутска.","measure"
"Самая низкая точка посёлка — урез озера Байкал, составляющий 456 м над уровнем моря.","Самая низкая точка посёлка — урез озера Байкал, составляющий 456 метров над уровнем моря.","measure"
"Учёные установили, что ок. Утулика глубина нарастает резко, и в 15 км от берега она составляет ок. 1000 м.","Учёные установили, что около Утулика глубина нарастает резко, и в 15 километрах от берега она составляет около 1000 метров.","measure"
"Толщина льда в южной котловине составляет ок. 1-1,5 м.","Толщина льда в южной котловине составляет около 1-1,5 метров.","measure"
"6 февраля 1988 года был открыт новый терминал площадью 10 150 квадратных м.","6 февраля 1988 года был открыт новый терминал площадью 10 150 квадратных метров.","measure"
"Располагается на высоте 36,0 м над уровнем моря.","Располагается на высоте 36,0 метров над уровнем моря.","measure"
"От удара о землю лайнер полностью разрушился (его обломки разбросало на площади ок. 500 квадратных м; один из горизонтальных стабилизаторов впосл. был обнаружен в 250 м от места падения), а на месте его падения образовалась воронка глубиной 15 м.","От удара о землю лайнер полностью разрушился (его обломки разбросало на площади около 500 квадратных метров; один из горизонтальных стабилизаторов впоследствии был обнаружен в 250 метрах от места падения), а на месте его падения образовалась воронка глубиной 15 метров.","measure"
"выс. над уровнем моря: 80 м.","Высота над уровнем моря: 80 метров.","measure"
"Абсолютная выс. — 29 м над уровнем моря.","Абсолютная высота — 29 метров над уровнем моря.","measure"
"На чемпионате Европы 2002 года в венгерском Сегеде одержал победу в зачёте одиночных байдарок на дистанции 1000 м, два года спустя на европейском первенстве в польской Познани получил в той же дисциплине серебро.","На чемпионате Европы 2002 года в венгерском Сегеде одержал победу в зачёте одиночных байдарок на дистанции 1000 метров, два года спустя на европейском первенстве в польской Познани получил в той же дисциплине серебро.","measure"
"Будучи одним из лидеров гребной команды Великобритании, благополучно прошёл квалификацию на Олимпийские игры 2004 года в Афинах, однако на сей раз остался без медали — в одиночках на тысяче м показал в решающем заезде пятый результат, немного не дотянув до призовых позиций.","Будучи одним из лидеров гребной команды Великобритании, благополучно прошёл квалификацию на Олимпийские игры 2004 года в Афинах, однако на сей раз остался без медали — в одиночках на тысяче метрах показал в решающем заезде пятый результат, немного не дотянув до призовых позиций.","measure"
"Позже отправился представлять страну на Олимпийских играх в Пекине — на пятистах м выиграл бронзовую медаль, проиграв на финише австралийцу Кену Уолласу и канадцу Адаму ван Кувердену, тогда как на тысяче м обогнал всех своих соперников и завоевал тем самым золотую медаль.","Позже отправился представлять страну на Олимпийских играх в Пекине — на пятистах метрах выиграл бронзовую медаль, проиграв на финише австралийцу Кену Уолласу и канадцу Адаму ван Кувердену, тогда как на тысяче метрах обогнал всех своих соперников и завоевал тем самым золотую медаль.","measure"
"Так, в 2010 г он выступил на чемпионате мира в Познани, откуда привёз награду серебряного достоинства, выигранную в зачёте одиночных байдарок на дистанции 1000 м.","Так, в 2010 году он выступил на чемпионате мира в Познани, откуда привёз награду серебряного достоинства, выигранную в зачёте одиночных байдарок на дистанции 1000 метров.","measure"
"Прошёл отбор на домашние Олимпийские игры 2012 года в Лондоне, но повторить успех четырёхлетней давности не смог, в одиночках на тысяче м дошёл до финала и финишировал в решающем заезде восьмым.","Прошёл отбор на домашние Олимпийские игры 2012 года в Лондоне, но повторить успех четырёхлетней давности не смог, в одиночках на тысяче метров дошёл до финала и финишировал в решающем заезде восьмым.","measure"
"На выставке SLUSH 2015 студенты представили гидрогель, способный аккумулировать от 3 до 10 л воды в одном г вещества.","На выставке SLUSH 2015 студенты представили гидрогель, способный аккумулировать от 3 до 10 литров воды в одном грамме вещества.","measure"
"Однако это утверждение довольно спорно, так как точка фиксации температуры лежит на высоте 5959 м.","Однако это утверждение довольно спорно, так как точка фиксации температуры лежит на высоте 5959 метров.","measure"
"Статус полюса холода разделяют сёла Томтор и Оймякон, находящиеся в 38 км друг от друга в оймяконской впадине.","Статус полюса холода разделяют сёла Томтор и Оймякон, находящиеся в 38 километрах друг от друга в оймяконской впадине.","measure"
"крыло должно закрывать по крайней мере сектор колеса в 30 ° спереди оси и 50 ° сзади;","крыло должно закрывать по крайней мере сектор колеса в 30 градусов спереди оси и 50 градусов сзади;","measure"
"Расстояние между Витебским вокзалом Санкт-Петербурга и Царским Селом составляет 22,6 км.","Расстояние между Витебским вокзалом Санкт-Петербурга и Царским Селом составляет 22,6 километра.","measure"
"Почтамт Санкт-Петербурга и отд. связи № 1 Пушкина расположены на расстоянии 24 км по прямой.","Почтамт Санкт-Петербурга и отделение связи № 1 Пушкина расположены на расстоянии 24 километров по прямой.","measure"
"Осадочные отложения того времени — песчаники, пески, глины, известняки — покрывают мощным слоем (св. 200 м) кристаллический фундамент, состоящий из гранитов, гнейсов и диабазов.","Осадочные отложения того времени — песчаники, пески, глины, известняки — покрывают мощным слоем (свыше 200 метров) кристаллический фундамент, состоящий из гранитов, гнейсов и диабазов.","measure"
"в 20 км от Богатых Сабов в п. Лесхоз находится Спортивный комплекс «Нарат» (крытый ледовый дворец, картинг-клуб и гостиница)","в 20 километрах от Богатых Сабов в п. Лесхоз находится Спортивный комплекс «Нарат» (крытый ледовый дворец, картинг-клуб и гостиница)","measure"
"перc. армия прибыла в апреле 1731 года в город Ногрех, всего в неск. км от Герата, откуда персы рассыпались веером и завладели башнями и крепостями в окрестностях города.","Персидская армия прибыла в апреле 1731 года в город Ногрех, всего в несколько километров от Герата, откуда персы рассыпались веером и завладели башнями и крепостями в окрестностях города.","measure"
"На летних Олимпийских играх 1956 года в Мельбурне боролся в весовой категории св. 87 кг (тяжёлый вес).","На летних Олимпийских играх 1956 года в Мельбурне боролся в весовой категории свыше 87 килограммов (тяжёлый вес).","measure"
"Взрыватель 4-тонного боеприпаса сработал спустя 43 с у моста Айой в 600 м от Госпиталя Сима, где находились врачи, лечащие тяжелобольных детей.","Взрыватель 4-тонного боеприпаса сработал спустя 43 секунды у моста Айой в 600 метрах от Госпиталя Сима, где находились врачи, лечащие тяжелобольных детей.","measure"
"После выхода из бомболюка она летела над городом примерно 45 с; на 43-й с падения синхронно сработали часовой и барометрический спусковые механизмы, активировавшие взрыватель.","После выхода из бомболюка она летела над городом примерно 45 секунд; на 43-й секунде падения синхронно сработали часовой и барометрический спусковые механизмы, активировавшие взрыватель.","measure"
"Бомба разорвалась на высоте ок. 400—600 м (по более точным оценкам — 576 м над землёй).","Бомба разорвалась на высоте около 400—600 метров (по более точным оценкам — 576 метров над землёй).","measure"
"Взрыв произошёл в 11:02 местного времени на высоте ок. 500 м.","Взрыв произошёл в 11:02 местного времени на высоте около 500 метров.","measure"
"Почти все дома в радиусе двух км были разрушены, а сухие, возгорающиеся мат-лы, такие как бумага, воспламенялись на расстоянии до трёх км от эпицентра.","Почти все дома в радиусе двух километров были разрушены, а сухие, возгорающиеся материалы, такие как бумага, воспламенялись на расстоянии до трёх километров от эпицентра.","measure"
"с. расположено на высоте 39 м над уровнем моря.","Село расположено на высоте 39 метров над уровнем моря.","measure"
"Родиной Прасковьи Жемчуговой историки называют расположенную в 30 км от Вощажникова деревню Березино Юхотской волости (ныне - Большесельского района).","Родиной Прасковьи Жемчуговой историки называют расположенную в 30 километрах от Вощажникова деревню Березино Юхотской волости (ныне - Большесельского района).","measure"
"Течет сначала (в течение нескольких км) на з., потом поворачивает на ю., а недалеко от устья — на юго-восток.","Течет сначала (в течение нескольких километров) на запад, потом поворачивает на юг, а недалеко от устья — на юго-восток.","measure"
"ок. 600 домов в Четумаль пострадали от наводнения высотой до 1,5 м, что вынудило сотни жителей эвакуироваться.","Около 600 домов в Четумаль пострадали от наводнения высотой до 1,5 метров, что вынудило сотни жителей эвакуироваться.","measure"
"Вылет прошёл без происшествий и экипаж начал набор высоты до эшелона FL140 (4250 м).","Вылет прошёл без происшествий и экипаж начал набор высоты до эшелона FL140 (4250 метров).","measure"
"выс. над уровнем моря — 68 м.","Высота над уровнем моря — 68 метров.","measure"
"Встречается на высоте до 1800—2000 м над уровнем моря.","Встречается на высоте до 1800—2000 метров над уровнем моря.","measure"
"За форсирование реки Уссури, прорыв Хутоуский, Мишаньский, Пограничненский и Дуннинский укреплённых районов японцев, преодоление труднодоступной горно-таёжной местности, продвижение вперёд на 500 км и овладение городами Мишань, Гирин, Яньцзи, Харбин.","За форсирование реки Уссури, прорыв Хутоуский, Мишаньский, Пограничненский и Дуннинский укреплённых районов японцев, преодоление труднодоступной горно-таёжной местности, продвижение вперёд на 500 километров и овладение городами Мишань, Гирин, Яньцзи, Харбин.","measure"
"Шляпка коническая или колокольчатая, диаметр редко превышает неск. см.","Шляпка коническая или колокольчатая, диаметр редко превышает несколько сантиметров.","measure"
"На выходе из сквера со стороны Александро-Невского собора расположен знак нулевого км автодорог Волгоградской области, установленный в 1999 г.","На выходе из сквера со стороны Александро-Невского собора расположен знак нулевого километра автодорог Волгоградской области, установленный в 1999 году.","measure"
"пам. представляет собой железобетонные конструкции, облицованные красным гранитом и состоит из обелиска высотой 26 м и надгробной гранитной площадки, откосы которой выложены дёрном.","Памятник представляет собой железобетонные конструкции, облицованные красным гранитом и состоит из обелиска высотой 26 метров и надгробной гранитной площадки, откосы которой выложены дёрном.","measure"
"выс. скульптуры — 3,2 м, гранитного постамента — почти 4 м.","Высота скульптуры — 3,2 метра, гранитного постамента — почти 4 метра.","measure"
"Кроме того, в четырёхстах м от площади расположен вокзал Волгоград I, обслуживающий поезда дальнего следования и пригородные поезда.","Кроме того, в четырёхстах метрах от площади расположен вокзал Волгоград I, обслуживающий поезда дальнего следования и пригородные поезда.","measure"
"Никто из них до последней с не знал, что в квартире проникли пятеро вооружённых мужчин.","Никто из них до последней секунды не знал, что в квартире проникли пятеро вооружённых мужчин.","measure"
"На юношеском чемпионате Украины 2018 года в Днепре установил свой персон. рекорд в метании 700-граммового копья — 62,63 м, что позволило завоевать золото на турнире.","На юношеском чемпионате Украины 2018 года в Днепре установил свой персональный рекорд в метании 700-граммового копья — 62,63 метра, что позволило завоевать золото на турнире.","measure"
"Фельфнер представлял Украину на Европейском юношеском олимпийском фестивале 2019 года в Баку, где завоевал бронзу, метнув копьё на 73,16 м.","Фельфнер представлял Украину на Европейском юношеском олимпийском фестивале 2019 года в Баку, где завоевал бронзу, метнув копьё на 73,16 метра.","measure"
"Золото укр. легкоатлет получил на юниорском чемпионат Европы 2021 года в Таллине, отравив копьё на 78,41 м.","Золото украинский легкоатлет получил на юниорском чемпионат Европы 2021 года в Таллине, отравив копьё на 78,41 метра.","measure"
"После этого отравился на чемпионат мира среди юниоров в Найроби (Кения), где завоевал серебро, уступив 14 см финну Янне Ляспя.","После этого отравился на чемпионат мира среди юниоров в Найроби (Кения), где завоевал серебро, уступив 14 сантиметров финну Янне Ляспя.","measure"
"На соревнованиях в Оффенбурге в мае 2022 года метнул копье на 83,28 м, что стало рекордом Украины среди юношей, но четвёртым результатом турнира.","На соревнованиях в Оффенбурге в мае 2022 года метнул копье на 83,28 метра, что стало рекордом Украины среди юношей, но четвёртым результатом турнира.","measure"
"Уже в июле он обновил показатель на соревнованиях в Шоморине — 84,32 м.","Уже в июле он обновил показатель на соревнованиях в Шоморине — 84,32 метра.","measure"
"Улучшил свой результат на Hylo Javelin Meeting 2024 в Оффенбурге, где показал 83,95 м.","Улучшил свой результат на Hylo Javelin Meeting 2024 в Оффенбурге, где показал 83,95 метра.","measure"
"На чемпионате Европы 2024 года в Риме сумел выйти в финал, став по итогам соревнований восьмым (81,38 м).","На чемпионате Европы 2024 года в Риме сумел выйти в финал, став по итогам соревнований восьмым (81,38 метра).","measure"
"Некоторые исследователи локализовали детинец города на Замковой горе площадью 2 гектара и мощностью культурного слоя до 4,5 м.","Некоторые исследователи локализовали детинец города на Замковой горе площадью 2 гектара и мощностью культурного слоя до 4,5 метров.","measure"
"Абсолютная выс. — 32 м над уровнем моря.","Абсолютная высота — 32 метра над уровнем моря.","measure"
"Расстояние, примерно, до райцентра — 30 км, до Тамбова — 45.","Расстояние, примерно, до райцентра — 30 километров, до Тамбова — 45.","measure"
"Прыгнув в квалификации на 16,32 м, Бабаев занял третье место и вышел в финал.","Прыгнув в квалификации на 16,32 метров, Бабаев занял третье место и вышел в финал.","measure"
"Абсолютная выс. — 175 м над уровнем моря.","Абсолютная высота — 175 метров над уровнем моря.","measure"
"100 ТБ данных на 200 компьютерах","100 терабайт данных на 200 компьютерах","measure"
"Зал «Культурама» состоит из огромного 180-градусного панорамного интерактивного компьютерного экрана диаметром 10 м, состоящего из девяти отдельных плоских экранов, расположенных полукругом, и девяти видеопроекторов, управляемых одним компьютером.","Зал «Культурама» состоит из огромного 180-градусного панорамного интерактивного компьютерного экрана диаметром 10 метров, состоящего из девяти отдельных плоских экранов, расположенных полукругом, и девяти видеопроекторов, управляемых одним компьютером.","measure"
"Рельеф — горизонтальный и низкий, бо́льшая ч. территории приподнимается над уровнем моря не более, чем на 2 м.","Рельеф — горизонтальный и низкий, бо́льшая часть территории приподнимается над уровнем моря не более, чем на 2 метра.","measure"
"Старт мужчин находился в Бурсе на начальной станции Теферрюч (380 м над уровнем моря), юниорки начинали бег на станции Кадыяйла (1230 м над уровнем моря), финиш располагался на станции Сарыалан Яйласи (1625 м над уровнем моря).","Старт мужчин находился в Бурсе на начальной станции Теферрюч (380 метров над уровнем моря), юниорки начинали бег на станции Кадыяйла (1230 метров над уровнем моря), финиш располагался на станции Сарыалан Яйласи (1625 метров над уровнем моря).","measure"
"Её преимущество над серебряным призёром, несмотря на короткую дистанцию, оказалось самым большим среди всех чемпионов 2006 года — 1 минута 37 с.","Её преимущество над серебряным призёром, несмотря на короткую дистанцию, оказалось самым большим среди всех чемпионов 2006 года — 1 минута 37 секунд.","measure"
"Всего 18 с ей уступила 19-летняя Мартина Штрель, финишировавшая на втором месте.","Всего 18 секунд ей уступила 19-летняя Мартина Штрель, финишировавшая на втором месте.","measure"
"На финише их разделили всего 6 с.","На финише их разделили всего 6 секунд.","measure"
"Начинал актёрскую карьеру в конце 70 — начале 80-х на театральных подмостках и в комедийном трио «Незнакомцы», куда помимо него входили Бернар Кампан и Па Лежитимюс.","Начинал актёрскую карьеру в конце 70 — начале 80-х на театральных подмостках и в комедийном трио «Незнакомцы», куда помимо него входили Бернар Кампан и Паскаль Лежитимюс.","measure"
"Седловина между двумя вершинами расположена на высоте 6169 м, таким образом, относительная выс. вершины Чангабанг составляет 695 м.","Седловина между двумя вершинами расположена на высоте 6169 метра, таким образом, относительная высота вершины Чангабанг составляет 695 метров.","measure"
"После четырёх заездов её результат составлял 3:24,779 минуты, что на 9,262 с больше, чем у победителя — итальянки Герды Вайсенштайнер.","После четырёх заездов её результат составлял 3:24,779 минуты, что на 9,262 секунд больше, чем у победителя — итальянки Герды Вайсенштайнер.","measure"
"Правый приток реки Курсак (бассейн р. Дёма), впадает в него в 350 м выше опустевшего посёлка Литинка.","Правый приток реки Курсак (бассейн р. Дёма), впадает в него в 350 метрах выше опустевшего посёлка Литинка.","measure"
"Вся поверхность земного шара разделена на 324 сектора размером 10 ° широты на 20 ° долготы.","Вся поверхность земного шара разделена на 324 сектора размером 10 градусов широты на 20 градусов долготы.","measure"
"Именем Чокана Валиханова также названы — ин-т истории, археологии и этнологии НАН РК, школа № 68 и улица в центре Алматы, вершина хребта Заилийский Алатау (4234 м), б-ка в Таразе.","Именем Чокана Валиханова также названы — Институт истории, археологии и этнологии НАН РК, школа № 68 и улица в центре Алматы, вершина хребта Заилийский Алатау (4234 метра), библиотека в Таразе.","measure"
"Среднегодовая скорость ветра 3,5-4,2 м в с.","Среднегодовая скорость ветра 3,5-4,2 метра в секунду.","measure"
"Работал в партии по первоначальной разведке и оценке Майхуринского вольфрамового месторождения (в Гиссарском горном хребте на абсолютной высоте 3500 м).","Работал в партии по первоначальной разведке и оценке Майхуринского вольфрамового месторождения (в Гиссарском горном хребте на абсолютной высоте 3500 метров).","measure"
"1978 — Не подвластные м — сотр. милиции","1978 — Не подвластные метры — сотрудник милиции","measure"
"Расположена на расстоянии 25 655 м от станции метро «Пирей».","Расположена на расстоянии 25 655 метров от станции метро «Пирей».","measure"
"с получила свое назв. от шестидесятеричной системы счисления, к-рый возникла у шумеров и вавилонян.","Секунда получила свое название от шестидесятеричной системы счисления, которая возникла у шумеров и вавилонян.","measure"
"Эта система делит базовую единицу на шестьдесят минут, каждую минуту на шестьдесят с, а каждую с на шестьдесят уровней.","Эта система делит базовую единицу на шестьдесят минут, каждую минуту на шестьдесят секунд, а каждую секунду на шестьдесят уровней.","measure"
"Слово «минута» происходит от латинского pars minuta prima, что означает «первая м. ч.», а «с» — от pars minuta secunda или «вторая м. ч.».","Слово «минута» происходит от латинского pars minuta prima, что означает «первая малая часть», а «секунда» — от pars minuta secunda или «вторая малая часть».","measure"
"Угловая мера также использует шестидесятеричные единицы; здесь это градус, к-рый делится на минуты и с, а в измерении времени это час.","Угловая мера также использует шестидесятеричные единицы; здесь это градус, который делится на минуты и секунды, а в измерении времени это час.","measure"
"Джеймс Клерк Максвелл и Элиу Томсон (через Британскую ассоциацию развития науки, или BAAS) ввели систему единиц см-г-с в 1874 г для получения электрических и магнитных метрических единиц, следуя рекомендации Карла Фридриха Гаусса в 1832 г.","Джеймс Клерк Максвелл и Элиу Томсон (через Британскую ассоциацию развития науки, или BAAS) ввели систему единиц сантиметр-грамм-секунда в 1874 году для получения электрических и магнитных метрических единиц, следуя рекомендации Карла Фридриха Гаусса в 1832 году.","measure"
"Когда совр. система СИ была определена на 10-й Генеральной конференции по мерам и весам в 1954 г, эфемеридная с (1/86400 среднего солнечного дня) была сделана одной из основных единиц системы.","Когда современная система СИ была определена на 10-й Генеральной конференции по мерам и весам в 1954 году, эфемеридная секунда (1/86400 среднего солнечного дня) была сделана одной из основных единиц системы.","measure"
"Метрические префиксы для единиц с обычно используются в науке и технике.","Метрические префиксы для единиц секунды обычно используются в науке и технике.","measure"
"Особенно распространены мс и мкс.","Особенно распространены миллисекунды и микросекунды.","measure"
"Префиксы, кратные с, используются редко:","Префиксы, кратные секундам, используются редко:","measure"
"Метрическая единица времени (с)","Метрическая единица времени (секунда)","measure"
"По данным Бюро переписи населения США статистически обособленная местность Джен-Фил-Вилидж имеет общую пл. в 12,43 квадратных км, из которых 12,17 кв. км занимает земля и 0,26 кв. км — вода.","По данным Бюро переписи населения США статистически обособленная местность Джен-Фил-Вилидж имеет общую площадь в 12,43 квадратных километров, из которых 12,17 кв. километров занимает земля и 0,26 кв. километров — вода.","measure"
"За 86 км до финиша Кизенхофер, Анна Плихте (Польша) и Омер Шапира (Израиль) оторвались от пелотона на десять минут.","За 86 километров до финиша Кизенхофер, Анна Плихте (Польша) и Омер Шапира (Израиль) оторвались от пелотона на десять минут.","measure"
"После постройки в 1916 г в нескольких км железнодорожной станции Поспелиха обществ. жизнь стала перемещаться на станцию, и в 1924 г уже станция Поспелиха стала районным центром.","После постройки в 1916 году в нескольких километрах железнодорожной станции Поспелиха общественная жизнь стала перемещаться на станцию, и в 1924 году уже станция Поспелиха стала районным центром.","measure"
"Хэмилтон завоевал поул, стабильно опережая на 0,2 с партнёра и единственного конкурента в борьбе за титул Росберга.","Хэмилтон завоевал поул, стабильно опережая на 0,2 секунды партнёра и единственного конкурента в борьбе за титул Росберга.","measure"
"Абсолютная выс. — 168 м над уровнем моря.","Абсолютная высота — 168 метров над уровнем моря.","measure"
"Годовое кол-во атмосферных осадков составляет ок. 570 мм, из которых большая ч. выпадает в тёплый период.","Годовое количество атмосферных осадков составляет около 570 миллиметров, из которых большая часть выпадает в тёплый период.","measure"
"Находится у реки Инсар на расстоянии примерно 5 км по прямой на юго-запад от районного центра поселка Ромоданово.","Находится у реки Инсар на расстоянии примерно 5 километров по прямой на юго-запад от районного центра поселка Ромоданово.","measure"
"Комплекс защитных сооружений предназначен для защиты акватории Невской губы и дельты Невы от сгонно-нагонных явлений, при которых фиксировался подъём воды до 4,2 м выше ординара.","Комплекс защитных сооружений предназначен для защиты акватории Невской губы и дельты Невы от сгонно-нагонных явлений, при которых фиксировался подъём воды до 4,2 метра выше ординара.","measure"
