"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Он заплатил 300€ за услуги адвоката, который помог ему разобраться в сложном юридическом вопросе.","Он заплатил 300 евро за услуги адвоката, который помог ему разобраться в сложном юридическом вопросе."
"Цена на экзотические фрукты в этом супермаркете колеблется от 10€ до 40€ за килограмм.","Цена на экзотические фрукты в этом супермаркете колеблется от 10 евро до 40 евро за килограмм."
"Программа тренинга по личностному росту обошлась ему в 200€, но знания, полученные на курсе, оказались безценными.","Программа тренинга по личностному росту обошлась ему в 200 евро, но знания, полученные на курсе, оказались безценными."
"Для того чтобы взять частный тур по Ватикану, он заплатил 150€, так как этот вариант был гораздо удобнее.","Для того чтобы взять частный тур по Ватикану, он заплатил 150 евро, так как этот вариант был гораздо удобнее."
"После покупки новой машины он потратил 400€ на аксессуары и обновления салона.","После покупки новой машины он потратил 400 евро на аксессуары и обновления салона."
"Записаться на курс английского языка в Лондоне стоило 250€, и это включало все учебные материалы.","Записаться на курс английского языка в Лондоне стоило 250 евро, и это включало все учебные материалы."
"Стоимость личного консультирования с известным бизнес-ментором составила 1000€.","Стоимость личного консультирования с известным бизнес-ментором составила 1000 евро."
"Для участия в международной конференции она заплатила 450€, включая входной билет и все мероприятия.","Для участия в международной конференции она заплатила 450 евро, включая входной билет и все мероприятия."
"Для ремонта кухни в старом доме потребовалось 800€, включая все строительные материалы и оплату труда рабочих.","Для ремонта кухни в старом доме потребовалось 800 евро, включая все строительные материалы и оплату труда рабочих."
"Цена на билеты на концерт классической музыки составляла 70€, и они были проданы за несколько дней до начала мероприятия.","Цена на билеты на концерт классической музыки составляла 70 евро, и они были проданы за несколько дней до начала мероприятия."
"Он потратил 250€ на покупку спортивного оборудования для домашнего фитнеса.","Он потратил 250 евро на покупку спортивного оборудования для домашнего фитнеса."
"Стоимость использования сауны на выходных в этом отеле составила 60€, что включало доступ к бассейну.","Стоимость использования сауны на выходных в этом отеле составила 60 евро, что включало доступ к бассейну."
"Заплатив 100€, они получили абонемент на три месяца в спортивный клуб.","Заплатив 100 евро, они получили абонемент на три месяца в спортивный клуб."
"Билеты на исторический спектакль стоили 45€, и это был отличный способ познакомиться с культурой города.","Билеты на исторический спектакль стоили 45 евро, и это был отличный способ познакомиться с культурой города."
"Для того чтобы заплатить за аренду автомобиля на месяц, они отдали 400€.","Для того чтобы заплатить за аренду автомобиля на месяц, они отдали 400 евро."
"Стоимость консультации с психологом составила 80€, и это помогло ему справиться с тревожностью.","Стоимость консультации с психологом составила 80 евро, и это помогло ему справиться с тревожностью."
"Для участия в мастер-классе по живописи он потратил 50€, так как всегда хотел научиться рисовать.","Для участия в мастер-классе по живописи он потратил 50 евро, так как всегда хотел научиться рисовать."
"Заплатив 1200€ за курс по цифровому маркетингу, он рассчитывал на получение знаний для продвижения бизнеса.","Заплатив 1200 евро за курс по цифровому маркетингу, он рассчитывал на получение знаний для продвижения бизнеса."
"Цена на билеты в парк аттракционов составляла 20€ за взрослого человека, что оказалось доступно для всей семьи.","Цена на билеты в парк аттракционов составляла 20 евро за взрослого человека, что оказалось доступно для всей семьи."
"Для того чтобы арендовать офис в центре города, ему нужно было заплатить 1000€ в месяц.","Для того чтобы арендовать офис в центре города, ему нужно было заплатить 1000 евро в месяц."
"На покупку спортивного костюма для тренировок он потратил 150€, выбрав известную марку.","На покупку спортивного костюма для тренировок он потратил 150 евро, выбрав известную марку."
"Стоимость аренды конференц-зала на 2 дня составила 500€, включая все удобства для участников.","Стоимость аренды конференц-зала на 2 дня составила 500 евро, включая все удобства для участников."
"Он инвестировал 2000€ в проект стартапа, надеясь получить большую прибыль в будущем.","Он инвестировал 2000 евро в проект стартапа, надеясь получить большую прибыль в будущем."
"Для того чтобы попасть на популярное мероприятие, ему нужно было заплатить 150€, и это было совсем не дешево.","Для того чтобы попасть на популярное мероприятие, ему нужно было заплатить 150 евро, и это было совсем не дешево."
"Заплатив 100€, они приобрели билеты на международный спортивный турнир.","Заплатив 100 евро, они приобрели билеты на международный спортивный турнир."
"Он потратил 250€ на участие в тренинге по личной эффективности, который проводился в течение трех дней.","Он потратил 250 евро на участие в тренинге по личной эффективности, который проводился в течение трех дней."
"Стоимость членства в фитнес-клубе составляет 300€ в год, включая тренировки и доступ к оборудованию.","Стоимость членства в фитнес-клубе составляет 300 евро в год, включая тренировки и доступ к оборудованию."
"Цена на туристические путевки на Канарские острова начинается от 500€, в зависимости от сезона.","Цена на туристические путевки на Канарские острова начинается от 500 евро, в зависимости от сезона."
"Для поездки в Лондон они потратили 700€, что включало все расходы на транспорт и питание.","Для поездки в Лондон они потратили 700 евро, что включало все расходы на транспорт и питание."
"Стоимость аренды домика на побережье составила 1000€, и это оказалось идеальным вариантом для семейного отдыха.","Стоимость аренды домика на побережье составила 1000 евро, и это оказалось идеальным вариантом для семейного отдыха."
"Для того чтобы пройти курс по программированию, ему нужно было заплатить 600€, и обучение длилось 6 месяцев.","Для того чтобы пройти курс по программированию, ему нужно было заплатить 600 евро, и обучение длилось 6 месяцев."
"Стоимость билетов на музыкальный фестиваль составила 250€, и они приобрели их заранее, чтобы не стоять в очереди.","Стоимость билетов на музыкальный фестиваль составила 250 евро, и они приобрели их заранее, чтобы не стоять в очереди."
"Для того чтобы арендовать квартиру на две недели в Испании, они заплатили 600€, что было весьма экономно.","Для того чтобы арендовать квартиру на две недели в Испании, они заплатили 600 евро, что было весьма экономно."
"Он потратил 1000€ на организацию свадьбы, выбрав самые лучшие места для церемонии и банкета.","Он потратил 1000 евро на организацию свадьбы, выбрав самые лучшие места для церемонии и банкета."
"Стоимость абонемента на занятия йогой в этом центре составила 200€, и это включало занятия дважды в неделю.","Стоимость абонемента на занятия йогой в этом центре составила 200 евро, и это включало занятия дважды в неделю."
"На участие в бизнес-курсе по финансовому планированию он потратил 500€, так как хотел улучшить свои навыки управления финансами.","На участие в бизнес-курсе по финансовому планированию он потратил 500 евро, так как хотел улучшить свои навыки управления финансами."
"Для посещения самых популярных музеев в Париже необходимо заплатить 60€, но это того стоит.","Для посещения самых популярных музеев в Париже необходимо заплатить 60 евро, но это того стоит."
"Путевка на курорт на неделю обошлась ему в 1200€, включая все расходы на проживание и питание.","Путевка на курорт на неделю обошлась ему в 1200 евро, включая все расходы на проживание и питание."
"Он заплатил 200€ за услуги детского психолога, чтобы помочь своему ребенку справиться с трудностями.","Он заплатил 200 евро за услуги детского психолога, чтобы помочь своему ребенку справиться с трудностями."
"Стоимость обеда в дорогом ресторане составила 70€ на человека, включая напитки.","Стоимость обеда в дорогом ресторане составила 70 евро на человека, включая напитки."
"Цена на цифровую камеру в интернет-магазине была 500€, что оказалось хорошей сделкой.","Цена на цифровую камеру в интернет-магазине была 500 евро, что оказалось хорошей сделкой."
"Для того чтобы отправиться на гастрономический тур по Франции, он потратил 1500€, включая перелет и все экскурсии.","Для того чтобы отправиться на гастрономический тур по Франции, он потратил 1500 евро, включая перелет и все экскурсии."
"Стоимость новой дизайнерской сумки составила 250€, и она стала отличным подарком для жены.","Стоимость новой дизайнерской сумки составила 250 евро, и она стала отличным подарком для жены."
"Курс по кулинарии стоил 80€, и он был полностью онлайн.","Курс по кулинарии стоил 80 евро, и он был полностью онлайн."
"Для того чтобы пройти сертификационный курс по маркетингу, ему нужно было заплатить 600€.","Для того чтобы пройти сертификационный курс по маркетингу, ему нужно было заплатить 600 евро."
"Билеты на художественную выставку стоили 20€ за вход, и это было хорошей возможностью увидеть работы современных художников.","Билеты на художественную выставку стоили 20 евро за вход, и это было хорошей возможностью увидеть работы современных художников."
"Стоимость входного билета на концерт классической музыки составила 100€, и это была уникальная возможность насладиться живым исполнением.","Стоимость входного билета на концерт классической музыки составила 100 евро, и это была уникальная возможность насладиться живым исполнением."
"Для того чтобы аренда автомобиля на неделю обошлась в 300€, они решили воспользоваться предложением без ограничений по пробегу.","Для того чтобы аренда автомобиля на неделю обошлась в 300 евро, они решили воспользоваться предложением без ограничений по пробегу."
"Он заплатил 400€ за курс иностранных языков, который проводился в престижной школе в Лондоне.","Он заплатил 400 евро за курс иностранных языков, который проводился в престижной школе в Лондоне."
"Покупка нового ноутбука для работы обошлась в 800€, так как он выбрал модель с высокой производительностью.","Покупка нового ноутбука для работы обошлась в 800 евро, так как он выбрал модель с высокой производительностью."
"Для организации свадьбы на открытом воздухе они заплатили 1500€, включая аренду места и услуги флористов.","Для организации свадьбы на открытом воздухе они заплатили 1500 евро, включая аренду места и услуги флористов."
"Он потратил 350€ на участие в международной конференции по инновациям в области здравоохранения.","Он потратил 350 евро на участие в международной конференции по инновациям в области здравоохранения."
"Стоимость подписки на онлайн-курсы по программированию составила 60€ в месяц, и он решил оформить годовой абонемент.","Стоимость подписки на онлайн-курсы по программированию составила 60 евро в месяц, и он решил оформить годовой абонемент."
"Цена на билеты на поезд из Парижа в Брюссель составила 80€, и они купили их заранее, чтобы не переплачивать.","Цена на билеты на поезд из Парижа в Брюссель составила 80 евро, и они купили их заранее, чтобы не переплачивать."
"Стоимость аренды яхты для недельного путешествия составила 2500€, и это было одним из самых дорогих туров в их жизни.","Стоимость аренды яхты для недельного путешествия составила 2500 евро, и это было одним из самых дорогих туров в их жизни."
"Для того чтобы заказать услугу по укладке плитки в ванной, им пришлось заплатить 500€, так как это было трудоемким процессом.","Для того чтобы заказать услугу по укладке плитки в ванной, им пришлось заплатить 500 евро, так как это было трудоемким процессом."
"Он потратил 350€ на проведение встречи с потенциальными инвесторами, арендовав для этого конфернц-зал.","Он потратил 350 евро на проведение встречи с потенциальными инвесторами, арендовав для этого конференц-зал."
"Стоимость нового телефона, который он купил, составила 900€, и это был последний флагманский выпуск в линейке.","Стоимость нового телефона, который он купил, составила 900 евро, и это был последний флагманский выпуск в линейке."
"Для того чтобы взять уроки музыки у известного пианиста, ему нужно было заплатить 200€, и это был единственный доступный урок.","Для того чтобы взять уроки музыки у известного пианиста, ему нужно было заплатить 200 евро, и это был единственный доступный урок."
"Стоимость доставки продуктов в их дом составила 15€, и это было удобно, так как им не пришлось идти в магазин.","Стоимость доставки продуктов в их дом составила 15 евро, и это было удобно, так как им не пришлось идти в магазин."
"Заплатив 350€, они поехали на двухдневную экскурсию по историческим памятникам Парижа.","Заплатив 350 евро, они поехали на двухдневную экскурсию по историческим памятникам Парижа."
"Для того чтобы организовать специальное мероприятие для бизнеса, они потратили 1200€, включая аренду зала и организацию питания.","Для того чтобы организовать специальное мероприятие для бизнеса, они потратили 1200 евро, включая аренду зала и организацию питания."
"Стоимость участия в курсе повышения квалификации составила 500€, и он получил сертификат по окончании.","Стоимость участия в курсе повышения квалификации составила 500 евро, и он получил сертификат по окончании."
"Цена на билеты в театре на новый спектакль составила 60€, и это была отличная возможность познакомиться с новыми постановками.","Цена на билеты в театре на новый спектакль составила 60 евро, и это была отличная возможность познакомиться с новыми постановками."
"Он заплатил 700€ за оформление документов на покупку недвижимости, так как процесс был достаточно сложным.","Он заплатил 700 евро за оформление документов на покупку недвижимости, так как процесс был достаточно сложным."
"Стоимость обучения на курсах по дизайну составила 800€, и это включало все необходимые материалы и учебные пособия.","Стоимость обучения на курсах по дизайну составила 800 евро, и это включало все необходимые материалы и учебные пособия."
"Заплатив 500€, они арендовали конференц-зал для организации деловой встречи на два дня.","Заплатив 500 евро, они арендовали конференц-зал для организации деловой встречи на два дня."
"Для того чтобы пройти курс по финансовой грамотности, он заплатил 200€, и это было хорошей инвестицией для его бизнеса.","Для того чтобы пройти курс по финансовой грамотности, он заплатил 200 евро, и это было хорошей инвестицией для его бизнеса."
"Для участия в теннисном турнире он заплатил 300€, включая аренду корта и регистрационный сбор.","Для участия в теннисном турнире он заплатил 300 евро, включая аренду корта и регистрационный сбор."
"Стоимость посещения выставки в Лувре составила 15€, и она была настоящим культурным опытом.","Стоимость посещения выставки в Лувре составила 15 евро, и она была настоящим культурным опытом."
"Для того чтобы нанять команду специалистов, им нужно было заплатить 2000€, включая оплату за работу и транспортные расходы.","Для того чтобы нанять команду специалистов, им нужно было заплатить 2000 евро, включая оплату за работу и транспортные расходы."
"Стоимость экскурсии на острова составила 100€, и это было хорошее предложение для туристов.","Стоимость экскурсии на острова составила 100 евро, и это было хорошее предложение для туристов."
"Заплатив 400€, они взяли на прокат велосипед для дневной поездки по окрестностям.","Заплатив 400 евро, они взяли на прокат велосипед для дневной поездки по окрестностям."
"Стоимость личной консультации с психологом составила 120€, и это помогло ему преодолеть проблемы на работе.","Стоимость личной консультации с психологом составила 120 евро, и это помогло ему преодолеть проблемы на работе."
"Для того чтобы сдать экзамен на диплом специалиста, ему нужно было заплатить 200€, и это включало все расходы на материалы.","Для того чтобы сдать экзамен на диплом специалиста, ему нужно было заплатить 200 евро, и это включало все расходы на материалы."
"Стоимость трехдневного тура по Венеции составила 600€, включая билеты и проживание.","Стоимость трехдневного тура по Венеции составила 600 евро, включая билеты и проживание."
"Он заплатил 150€ за дизайнерские аксессуары, которые подарил своему другу на день рождения.","Он заплатил 150 евро за дизайнерские аксессуары, которые подарил своему другу на день рождения."
"Вчера они потратили 70€ на ужин в ресторане на берегу моря, наслаждаясь панорамным видом.","Вчера они потратили 70 евро на ужин в ресторане на берегу моря, наслаждаясь панорамным видом."
"В итоге покупка нового телевизора обошлась ему в 1200€, так как был предложен хороший скидочный купон.","В итоге покупка нового телевизора обошлась ему в 1200 евро, так как был предложен хороший скидочный купон."
"Для того чтобы попасть на закрытую вечеринку в Лондоне, ему пришлось заплатить 250€, чтобы купить билет.","Для того чтобы попасть на закрытую вечеринку в Лондоне, ему пришлось заплатить 250 евро, чтобы купить билет."
"В программе повышения квалификации учителей было указано, что стоимость обучения составляет 400€.","В программе повышения квалификации учителей было указано, что стоимость обучения составляет 400 евро."
"Его поездка в Токио обошлась в 2000€, включая все расходы на проживание и перелет.","Его поездка в Токио обошлась в 2000 евро, включая все расходы на проживание и перелет."
"Для того чтобы заказать уникальную картину у художника, он заплатил 300€, что является стандартной ценой для такой работы.","Для того чтобы заказать уникальную картину у художника, он заплатил 300 евро, что является стандартной ценой для такой работы."
"Стоимость билетов на международный кинофестиваль в Каннах составила 500€, и они были выкуплены задолго до начала мероприятия.","Стоимость билетов на международный кинофестиваль в Каннах составила 500 евро, и они были выкуплены задолго до начала мероприятия."
"Для того чтобы пройти курс по бизнес-стратегиям, ему нужно было заплатить 800€, но обучение оправдало вложения.","Для того чтобы пройти курс по бизнес-стратегиям, ему нужно было заплатить 800 евро, но обучение оправдало вложения."
"Когда он вернулся из отпуска, то заметил, что цена на мобильные аксессуары была снижена до 50€, что было отличной возможностью.","Когда он вернулся из отпуска, то заметил, что цена на мобильные аксессуары была снижена до 50 евро, что было отличной возможностью."
"Для того чтобы восстановить свой автомобиль, он заплатил 600€, покрывая расходы на запчасти и работу мастеров.","Для того чтобы восстановить свой автомобиль, он заплатил 600 евро, покрывая расходы на запчасти и работу мастеров."
"Стоимость аренды виллы для свадьбы составила 1500€, и это было именно то, что они искали.","Стоимость аренды виллы для свадьбы составила 1500 евро, и это было именно то, что они искали."
"Он заплатил 100€ за участие в воркшопе по фотографии, который проводился в этом месяце.","Он заплатил 100 евро за участие в воркшопе по фотографии, который проводился в этом месяце."
"За участие в спортивном турнире в Нью-Йорке он заплатил 250€, чтобы иметь возможность соревноваться на международной арене.","За участие в спортивном турнире в Нью-Йорке он заплатил 250 евро, чтобы иметь возможность соревноваться на международной арене."
"Стоимость круиза по Средиземному морю составила 1000€, и в эту сумму входили все развлечения и питание.","Стоимость круиза по Средиземному морю составила 1000 евро, и в эту сумму входили все развлечения и питание."
"Для того чтобы пройти мастер-класс по архитектуре, ему нужно было заплатить 200€, и это было идеальной возможностью научиться новому.","Для того чтобы пройти мастер-класс по архитектуре, ему нужно было заплатить 200 евро, и это было идеальной возможностью научиться новому."
"Он потратил 150€ на билеты на матч Лиги чемпионов, который проходил на стадионе в Барселоне.","Он потратил 150 евро на билеты на матч Лиги чемпионов, который проходил на стадионе в Барселоне."
"Стоимость участия в марафоне в Париже составила 120€, и это было хорошее вложение в здоровье.","Стоимость участия в марафоне в Париже составила 120 евро, и это было хорошее вложение в здоровье."
"Для того чтобы посетить знаменитый исторический музей в Лондоне, он заплатил 25€, и это стоило каждого цента.","Для того чтобы посетить знаменитый исторический музей в Лондоне, он заплатил 25 евро, и это стоило каждого цента."
"Он заплатил 500€ за ремонт своей квартиры, включая работы по переклейке обоев и установке новых окон.","Он заплатил 500 евро за ремонт своей квартиры, включая работы по переклейке обоев и установке новых окон."
"Для того чтобы арендовать уютный домик в горах, они заплатили 800€, чтобы провести отпуск в уединении.","Для того чтобы арендовать уютный домик в горах, они заплатили 800 евро, чтобы провести отпуск в уединении."
"Цена на услугу по организации частной вечеринки составила 200€, и она включала аренду площадки и услуги ведущего.","Цена на услугу по организации частной вечеринки составила 200 евро, и она включала аренду площадки и услуги ведущего."
"Для того чтобы пройти курс по стратегическому управлению, нужно было заплатить 700€, чтобы освоить необходимые навыки.","Для того чтобы пройти курс по стратегическому управлению, нужно было заплатить 700 евро, чтобы освоить необходимые навыки."
"Стоимость пересмотра программного обеспечения для компании составила 1000€, и это помогло улучшить рабочие процессы.","Стоимость пересмотра программного обеспечения для компании составила 1000 евро, и это помогло улучшить рабочие процессы."
"Он потратил 50€ на экскурсию по историческим местам города, которая длилась четыре часа.","Он потратил 50 евро на экскурсию по историческим местам города, которая длилась четыре часа."
"Для того чтобы заказать новую коллекцию одежды для своего магазина, он заплатил 1500€, получив эксклюзивные товары.","Для того чтобы заказать новую коллекцию одежды для своего магазина, он заплатил 1500 евро, получив эксклюзивные товары."
"Стоимость лечения в частной клинике составила 700€, включая все анализы и процедуры.","Стоимость лечения в частной клинике составила 700 евро, включая все анализы и процедуры."
"Он заплатил 300€ за участие в курсе по цифровому маркетингу, который дал ему важные знания для бизнеса.","Он заплатил 300 евро за участие в курсе по цифровому маркетингу, который дал ему важные знания для бизнеса."
"Для того чтобы организовать уникальное мероприятие, они заплатили 500€, включая аренду места и услуги фотографа.","Для того чтобы организовать уникальное мероприятие, они заплатили 500 евро, включая аренду места и услуги фотографа."
"Стоимость обучения в элитной художественной школе составила 1500€, и это было важным шагом в его карьере.","Стоимость обучения в элитной художественной школе составила 1500 евро, и это было важным шагом в его карьере."
"Заплатив 400€, они отправились на двухдневную экскурсию по историческим памятникам Рима.","Заплатив 400 евро, они отправились на двухдневную экскурсию по историческим памятникам Рима."
"Для того чтобы пройти сертификацию по английскому языку, ему нужно было заплатить 200€, и он стал дипломированным специалистом.","Для того чтобы пройти сертификацию по английскому языку, ему нужно было заплатить 200 евро, и он стал дипломированным специалистом."
"Для того чтобы пройти курс по кулинарному искусству, он заплатил 350€, что стало его новым хобби.","Для того чтобы пройти курс по кулинарному искусству, он заплатил 350 евро, что стало его новым хобби."
"Стоимость участия в онлайн-курсе по фотографии составила 100€, и это открыло для него новые горизонты.","Стоимость участия в онлайн-курсе по фотографии составила 100 евро, и это открыло для него новые горизонты."
"Он потратил 200€ на новый планшет, который идеально подходил для работы и отдыха.","Он потратил 200 евро на новый планшет, который идеально подходил для работы и отдыха."
"Стоимость транспорта по маршруту Лондон — Париж составила 150€, включая билеты на поезд и такси.","Стоимость транспорта по маршруту Лондон — Париж составила 150 евро, включая билеты на поезд и такси."
"После долгого путешествия по Азии, он потратил 800€ на покупку сувениров и подарков для друзей.","После долгого путешествия по Азии, он потратил 800 евро на покупку сувениров и подарков для друзей."
"Она заплатила 60€ за билет на концерт, который проходил в центре города.","Она заплатила 60 евро за билет на концерт, который проходил в центре города."
"Стоимость нового смартфона составила 1200€, включая все дополнительные аксессуары.","Стоимость нового смартфона составила 1200 евро, включая все дополнительные аксессуары."
"Он решил подарить жене украшение стоимостью 250€, которое она очень хотела.","Он решил подарить жене украшение стоимостью 250 евро, которое она очень хотела."
"Для участия в семинаре по предпринимательству нужно было заплатить 100€, что дало ему возможность познакомиться с успешными бизнесменами.","Для участия в семинаре по предпринимательству нужно было заплатить 100 евро, что дало ему возможность познакомиться с успешными бизнесменами."
"Она потратила 400€ на выходные в Париже, включая отель и рестораны.","Она потратила 400 евро на выходные в Париже, включая отель и рестораны."
"Стоимость экскурсии по музеям Барселоны составила 70€, и в нее входило посещение нескольких известных достопримечательностей.","Стоимость экскурсии по музеям Барселоны составила 70 евро, и в нее входило посещение нескольких известных достопримечательностей."
"Для того чтобы заплатить за новую коллекцию одежды, он потратил 150€, что было оправдано качеством товаров.","Для того чтобы заплатить за новую коллекцию одежды, он потратил 150 евро, что было оправдано качеством товаров."
"Вместо того чтобы поехать на автобусе, он заплатил 50€ за такси, чтобы быстрее добраться до аэропорта.","Вместо того чтобы поехать на автобусе, он заплатил 50 евро за такси, чтобы быстрее добраться до аэропорта."
"Стоимость обеда в ресторане на пляже составила 30€, что вполне соответствовало уровню заведения.","Стоимость обеда в ресторане на пляже составила 30 евро, что вполне соответствовало уровню заведения."
"После того как его запрос на заем был одобрен, он получил 500€, чтобы начать свой бизнес.","После того как его запрос на заем был одобрен, он получил 500 евро, чтобы начать свой бизнес."
"Он купил билет на авиарейс в Москву за 200€, что позволило ему провести выходные с семьей.","Он купил билет на авиарейс в Москву за 200 евро, что позволило ему провести выходные с семьей."
"Когда он обратился в компанию, чтобы узнать стоимость услуг, ему сказали, что это будет стоить 150€, включая доставку.","Когда он обратился в компанию, чтобы узнать стоимость услуг, ему сказали, что это будет стоить 150 евро, включая доставку."
"Для того чтобы арендовать дом на выходные, они заплатили 1000€, что включало все расходы на проживание.","Для того чтобы арендовать дом на выходные, они заплатили 1000 евро, что включало все расходы на проживание."
"Он потратил 75€ на покупку книги по саморазвитию, которая стала его настольным пособием.","Он потратил 75 евро на покупку книги по саморазвитию, которая стала его настольным пособием."
"Для того чтобы посетить знаменитую башню, ему нужно было заплатить 20€, чтобы подняться на смотровую площадку.","Для того чтобы посетить знаменитую башню, ему нужно было заплатить 20 евро, чтобы подняться на смотровую площадку."
"За участие в тренинге по личной эффективности он заплатил 250€, чтобы получить новые знания и навыки.","За участие в тренинге по личной эффективности он заплатил 250 евро, чтобы получить новые знания и навыки."
"Стоимость визы в Великобританию составила 50€, что оказалось выгодным вложением для его поездки.","Стоимость визы в Великобританию составила 50 евро, что оказалось выгодным вложением для его поездки."
"Чтобы попасть на закрытое мероприятие, ему нужно было заплатить 1000€, так как это был эксклюзивный доступ.","Чтобы попасть на закрытое мероприятие, ему нужно было заплатить 1000 евро, так как это был эксклюзивный доступ."
"Он получил 2000€ за завершение проекта, включая все расходы и бонусы.","Он получил 2000 евро за завершение проекта, включая все расходы и бонусы."
"Для того чтобы поехать в отпуск, она заплатила 500€, чтобы обеспечить себе комфортное проживание и экскурсии.","Для того чтобы поехать в отпуск, она заплатила 500 евро, чтобы обеспечить себе комфортное проживание и экскурсии."
"После того как он потратил 300€ на билеты, он понял, что это была отличная возможность посетить этот концерт.","После того как он потратил 300 евро на билеты, он понял, что это была отличная возможность посетить этот концерт."
"Стоимость всех принадлежностей для создания старинных документов составила 150€, включая все материалы и инструменты.","Стоимость всех принадлежностей для создания старинных документов составила 150 евро, включая все материалы и инструменты."
"Для того чтобы сделать вклад в новый стартап, он перевел 2000€, и эта сумма стала его инвестицией в будущее.","Для того чтобы сделать вклад в новый стартап, он перевел 2000 евро, и эта сумма стала его инвестицией в будущее."
"Он заплатил 70€ за участие в онлайн-конференции по развитию бизнеса, которая проходила в этой неделю.","Он заплатил 70 евро за участие в онлайн-конференции по развитию бизнеса, которая проходила в этой неделю."
"Стоимость абонемента на годовую подписку на спортивный клуб составила 450€, что включало все тренировки и услуги клуба.","Стоимость абонемента на годовую подписку на спортивный клуб составила 450 евро, что включало все тренировки и услуги клуба."
"После ремонта квартиры он заплатил 500€, чтобы покрыть расходы на материалы и работу специалистов.","После ремонта квартиры он заплатил 500 евро, чтобы покрыть расходы на материалы и работу специалистов."
"Он заплатил 1000€ за новый компьютер, который значительно улучшил его производительность.","Он заплатил 1000 евро за новый компьютер, который значительно улучшил его производительность."
"Стоимость аренды яхты на два дня составила 800€, и это было просто потрясающее приключение.","Стоимость аренды яхты на два дня составила 800 евро, и это было просто потрясающее приключение."
"Для того чтобы получить личное образование в области маркетинга, ему нужно было заплатить 300€, чтобы пройти курс.","Для того чтобы получить личное образование в области маркетинга, ему нужно было заплатить 300 евро, чтобы пройти курс."
"Вместо того чтобы отложить деньги на следующие несколько месяцев, он заплатил 250€, чтобы купить себе новый планшет.","Вместо того чтобы отложить деньги на следующие несколько месяцев, он заплатил 250 евро, чтобы купить себе новый планшет."
"Стоимость участия в международной конференции по экономике составила 600€, что включало проживание и питание.","Стоимость участия в международной конференции по экономике составила 600 евро, что включало проживание и питание."
"Для того чтобы посетить этот знаменитый парк аттракционов, нужно было заплатить 90€, чтобы пройти в основной сектор.","Для того чтобы посетить этот знаменитый парк аттракционов, нужно было заплатить 90 евро, чтобы пройти в основной сектор."
"Он купил новый билет на автобус в Стамбул за 35€, чтобы поехать на следующий день.","Он купил новый билет на автобус в Стамбул за 35 евро, чтобы поехать на следующий день."
"Стоимость экскурсии по историческим объектам в Афинах составила 100€, включая все транспортные расходы.","Стоимость экскурсии по историческим объектам в Афинах составила 100 евро, включая все транспортные расходы."
"Он заплатил 500€ за организацию выездного мероприятия на острове, что сделало его отдых незабываемым.","Он заплатил 500 евро за организацию выездного мероприятия на острове, что сделало его отдых незабываемым."
"Время, проведенное в Египте, стоило ему 300€, так как он наслаждался солнечным отдыхом и экскурсией.","Время, проведенное в Египте, стоило ему 300 евро, так как он наслаждался солнечным отдыхом и экскурсией."
"Для того чтобы посетить Лондонский театр, он заплатил 50€, так как билеты в тот момент были недорогими.","Для того чтобы посетить Лондонский театр, он заплатил 50 евро, так как билеты в тот момент были недорогими."
"Стоимость новой коллекции одежды составила 200€, и она была на распродаже в течение недели.","Стоимость новой коллекции одежды составила 200 евро, и она была на распродаже в течение недели."
"Для того чтобы организовать свадьбу, пара потратила 4000€, что включало аренду зала, банкет и фотоуслуги.","Для того чтобы организовать свадьбу, пара потратила 4000 евро, что включало аренду зала, банкет и фотоуслуги."
"Она заплатила 250€ за профессиональные фотосессии в студии, чтобы сделать семейные снимки.","Она заплатила 250 евро за профессиональные фотосессии в студии, чтобы сделать семейные снимки."
"За поездку на теплоходе по Волге он заплатил 150€, что оказалось хорошей сделкой с учётом длительности путешествия.","За поездку на теплоходе по Волге он заплатил 150 евро, что оказалось хорошей сделкой с учётом длительности путешествия."
"Чтобы поехать на курорт в Турции, он заплатил 700€, включая перелет, питание и экскурсии.","Чтобы поехать на курорт в Турции, он заплатил 700 евро, включая перелет, питание и экскурсии."
"Стоимость двух билетов на международный матч составила 120€, и места были отличные.","Стоимость двух билетов на международный матч составила 120 евро, и места были отличные."
"Для того чтобы заказать персональный тренинг, он заплатил 500€, чтобы улучшить свою физическую форму.","Для того чтобы заказать персональный тренинг, он заплатил 500 евро, чтобы улучшить свою физическую форму."
"Стоимость билетов на международный фестиваль составила 60€, включая все мероприятия на несколько дней.","Стоимость билетов на международный фестиваль составила 60 евро, включая все мероприятия на несколько дней."
"Для того чтобы провести бизнес-встречу в центре города, он заплатил 250€, арендуя конференц-зал на сутки.","Для того чтобы провести бизнес-встречу в центре города, он заплатил 250 евро, арендуя конференц-зал на сутки."
"Чтобы поехать в Прагу и провести там неделю, она потратила 500€, что включало все расходы на отдых.","Чтобы поехать в Прагу и провести там неделю, она потратила 500 евро, что включало все расходы на отдых."
"За участие в образовательном семинаре по маркетингу она заплатила 150€, чтобы повысить свою квалификацию.","За участие в образовательном семинаре по маркетингу она заплатила 150 евро, чтобы повысить свою квалификацию."
